order,id,date,time,title,url,visitCount,typedCount,transition
0,16641,5/6/2024,16:14:30,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,4,0,link
1,16735,5/6/2024,16:14:21,Chrome Web Store – Meus itens,https://chromewebstore.google.com/user/installed,1,0,link
2,16641,5/6/2024,16:14:09,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,4,0,link
3,16641,5/6/2024,16:14:08,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,4,0,link
4,16734,5/6/2024,16:12:01,[Imersão IA] Aula 1 - Prompts - Documentos Google,https://docs.google.com/document/d/130u8Kd6GewOsuRhoL4vWCENdh9ppDKabFAeUSWvYrlI/edit,1,0,link
5,16733,5/6/2024,16:12:01,[Imersão IA] Aula 1 - Prompts - Documentos Google,https://docs.google.com/document/d/130u8Kd6GewOsuRhoL4vWCENdh9ppDKabFAeUSWvYrlI/edit?usp=sharing,2,0,link
6,16733,5/6/2024,16:12:00,[Imersão IA] Aula 1 - Prompts - Documentos Google,https://docs.google.com/document/d/130u8Kd6GewOsuRhoL4vWCENdh9ppDKabFAeUSWvYrlI/edit?usp=sharing,2,0,link
7,16732,5/6/2024,16:11:59,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC,2,0,link
8,16732,5/6/2024,16:11:59,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC,2,0,link
9,16731,5/6/2024,16:11:59,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC?pli=1,1,0,link
10,16730,5/6/2024,16:11:59,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC?usp=sharing&pli=1,1,0,link
11,16724,5/6/2024,13:52:53,Dono de Mercedes vive impune após batida deixar bebê paraplégico,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2024/05/06/acidente-imigrantes-mortos-paraplegicos-liberdade.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,1,0,link
12,16723,5/6/2024,12:41:03,Como ampliar a exibição de saída para ver mais colunas no dataframe do Pandas? – Acervo Lima,https://acervolima.com/como-ampliar-a-exibicao-de-saida-para-ver-mais-colunas-no-dataframe-do-pandas/#google_vignette,1,0,link
13,16722,5/6/2024,12:31:14,df.value_counts() ou df.groupby([' ']).count? | Python Pandas: tratando e analisando dados | Solucionado,https://cursos.alura.com.br/forum/topico-df-value_counts-ou-df-groupby-count-189396,1,0,link
14,16720,5/6/2024,12:31:11,como filtrar um dataset pelo value_counts - Pesquisa Google,https://www.google.com/search?q=como+filtrar+um+dataset+pelo+value_counts&oq=como+filtrar+um+dataset+pelo+value_counts&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDk3NzdqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,3,0,generated
15,16721,5/6/2024,12:31:05,python - Filtrar Dataset a partir de um groupby - Stack Overflow em Português,https://pt.stackoverflow.com/questions/474989/filtrar-dataset-a-partir-de-um-groupby,1,0,link
16,16720,5/6/2024,12:30:59,como filtrar um dataset pelo value_counts - Pesquisa Google,https://www.google.com/search?q=como+filtrar+um+dataset+pelo+value_counts&oq=como+filtrar+um+dataset+pelo+value_counts&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDk3NzdqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,3,0,link
17,16720,5/6/2024,12:30:59,como filtrar um dataset pelo value_counts - Pesquisa Google,https://www.google.com/search?q=como+filtrar+um+dataset+pelo+value_counts&oq=como+filtrar+um+dataset+pelo+value_counts&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDk3NzdqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,3,0,generated
18,16624,5/6/2024,12:26:39,Ummy online video downloader - download de videos online,https://ummy.net/pt33ZN/,4,1,link
19,16719,5/6/2024,12:23:31,Como ampliar a exibição de saída para ver mais colunas no dataframe do Pandas? – Acervo Lima,https://acervolima.com/como-ampliar-a-exibicao-de-saida-para-ver-mais-colunas-no-dataframe-do-pandas/,1,0,link
20,16717,5/6/2024,12:23:27,exibir todas colunas pandas - Pesquisa Google,https://www.google.com/search?q=exibir+todas+colunas+pandas&oq=exibir+todas+colunas+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDY0ODBqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,4,0,generated
21,16717,5/6/2024,12:23:17,exibir todas colunas pandas - Pesquisa Google,https://www.google.com/search?q=exibir+todas+colunas+pandas&oq=exibir+todas+colunas+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDY0ODBqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,4,0,generated
22,16718,5/6/2024,12:22:54,Visualizar as 20 colunas | Data Science | Alura - Cursos online de tecnologia,https://cursos.alura.com.br/forum/topico-visualizar-as-20-colunas-152257,1,0,link
23,16717,5/6/2024,12:22:52,exibir todas colunas pandas - Pesquisa Google,https://www.google.com/search?q=exibir+todas+colunas+pandas&oq=exibir+todas+colunas+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDY0ODBqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,4,0,link
24,16717,5/6/2024,12:22:51,exibir todas colunas pandas - Pesquisa Google,https://www.google.com/search?q=exibir+todas+colunas+pandas&oq=exibir+todas+colunas+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDY0ODBqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,4,0,generated
25,16693,5/6/2024,12:14:12,Untitled prompt | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,3,0,link
26,16716,5/6/2024,12:13:46,Tentativa frustrada de instalar o gemini em Jupyter Notebook | Google AI Studio,https://aistudio.google.com/app/prompts/1cOBX4Rrps8tPWbblka1NWRqpdcEzIVag,1,0,link
27,16715,5/6/2024,11:44:51,ModuleNotFoundError: No module named 'gemini-python',https://www.roseindia.net/answers/viewqa/pythonquestions/108138-ModuleNotFoundError-No-module-named-gemini-python.html,1,0,link
28,16713,5/6/2024,11:44:48,No module named 'gemini' - Pesquisa Google,https://www.google.com/search?q=No+module+named+%27gemini%27&oq=No+module+named+%27gemini%27&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzk0MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,generated
29,16714,5/6/2024,11:40:38,ModuleNotFoundError: No module named 'gemini',https://www.roseindia.net/answers/viewqa/pythonquestions/108132-ModuleNotFoundError-No-module-named-gemini.html,1,0,link
30,16713,5/6/2024,11:40:35,No module named 'gemini' - Pesquisa Google,https://www.google.com/search?q=No+module+named+%27gemini%27&oq=No+module+named+%27gemini%27&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzk0MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,link
31,16713,5/6/2024,11:40:34,No module named 'gemini' - Pesquisa Google,https://www.google.com/search?q=No+module+named+%27gemini%27&oq=No+module+named+%27gemini%27&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzk0MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,generated
32,16712,5/6/2024,11:34:45,IMDB PT-BR,https://www.kaggle.com/datasets/luisfredgs/imdb-ptbr,4,0,link
33,16712,5/6/2024,11:34:45,IMDB PT-BR,https://www.kaggle.com/datasets/luisfredgs/imdb-ptbr,4,0,link
34,16712,5/6/2024,11:34:45,IMDB PT-BR,https://www.kaggle.com/datasets/luisfredgs/imdb-ptbr,4,0,link
35,16712,5/6/2024,11:34:45,IMDB PT-BR,https://www.kaggle.com/datasets/luisfredgs/imdb-ptbr,4,0,link
